EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.0010845661163330078,0,1,INITIAL_BUFFERING,Writing,45226
0.006227970123291016,0,1,PLAY,InitialBuffering-Play,0
0.007960796356201172,0,0,PLAY,StillPlaying,45226
0.9589502811431885,0,1,PLAY,Writing,88783.0
2.4827520847320557,2,2,PLAY,Writing,128503.0
4.010153532028198,4,1,PLAY,StillPlaying,88783.0
6.414910316467285,6,2,PLAY,Writing,177437.0
8.010451316833496,8,1,PLAY,StillPlaying,128503.0
12.010229349136353,12,0,PLAY,StillPlaying,177437.0
15.458401918411255,15,1,PLAY,Writing,217761.0
16.010229349136353,16,0,PLAY,StillPlaying,217761.0
17.49368453025818,17,1,PLAY,Writing,128503.0
18.871850728988647,18,2,PLAY,Writing,177437.0
19.92807936668396,19,3,PLAY,Writing,128503.0
20.010525226593018,20,2,PLAY,StillPlaying,128503.0
21.108232021331787,21,3,PLAY,Writing,177437.0
22.87419295310974,22,4,PLAY,Writing,217761.0
24.010690927505493,24,3,PLAY,StillPlaying,177437.0
25.347277641296387,25,4,PLAY,Writing,255865.0
27.911927700042725,27,5,PLAY,Writing,323047.0
28.010011434555054,28,4,PLAY,StillPlaying,128503.0
30.94799494743347,30,5,PLAY,Writing,378355.0
32.01017189025879,32,4,PLAY,StillPlaying,177437.0
35.18475818634033,35,5,PLAY,Writing,509091.0
36.01068925857544,36,4,PLAY,StillPlaying,217761.0
38.09274411201477,38,5,PLAY,Writing,378355.0
40.01012063026428,40,4,PLAY,StillPlaying,255865.0
41.86906599998474,41,5,PLAY,Writing,509091.0
44.01021480560303,44,4,PLAY,StillPlaying,323047.0
45.19706583023071,45,5,PLAY,Writing,378355.0
48.01055455207825,48,4,PLAY,StillPlaying,378355.0
49.80311059951782,49,5,PLAY,Writing,509091.0
52.01012063026428,52,4,PLAY,StillPlaying,509091.0
52.923375368118286,52,5,PLAY,Writing,378355.0
54.92580437660217,54,6,PLAY,Writing,323047.0
56.01068329811096,56,5,PLAY,StillPlaying,378355.0
57.8765869140625,57,6,PLAY,Writing,378355.0
60.01067066192627,60,5,PLAY,StillPlaying,509091.0
60.29206681251526,60,6,PLAY,Writing,509091.0
61.371514558792114,61,7,PLAY,Writing,378355.0
63.113383531570435,63,8,PLAY,Writing,509091.0
64.01068353652954,64,7,PLAY,StillPlaying,378355.0
64.33975028991699,64,8,PLAY,Writing,577751.0
66.54081010818481,66,9,PLAY,Writing,782553.0
68.0101089477539,68,8,PLAY,StillPlaying,509091.0
70.08605647087097,70,9,PLAY,Writing,1008699.0
72.01043772697449,72,8,PLAY,StillPlaying,378355.0
73.53075313568115,73,9,PLAY,Writing,782553.0
76.01099634170532,76,8,PLAY,StillPlaying,323047.0
76.26749539375305,76,9,PLAY,Writing,1008699.0
79.25962591171265,79,10,PLAY,Writing,782553.0
80.01096034049988,80,9,PLAY,StillPlaying,378355.0
82.57737994194031,82,10,PLAY,Writing,1008699.0
84.01087665557861,84,9,PLAY,StillPlaying,509091.0
84.5137369632721,84,10,PLAY,Writing,782553.0
86.3862738609314,86,11,PLAY,Writing,1008699.0
88.01028251647949,88,10,PLAY,StillPlaying,378355.0
92.01021480560303,92,9,PLAY,StillPlaying,509091.0
92.92008948326111,92,10,PLAY,Writing,1207152.0
96.02054762840271,96,9,PLAY,StillPlaying,577751.0
97.34668922424316,97,10,PLAY,Writing,1473801.0
100.01039242744446,100,9,PLAY,StillPlaying,782553.0
100.34472346305847,100,10,PLAY,Writing,1207152.0
